N_pct,M_pct,floor,recall,pool_accept
5,21,0.51,0.0,0.0025210084033613447
5,21,0.52,0.0,0.0025210084033613447
5,21,0.53,0.0,0.0025210084033613447
5,21,0.54,0.0,0.0025210084033613447
5,21,0.55,0.0,0.0025210084033613447
5,21,0.56,0.0,0.0025210084033613447
5,21,0.57,0.0,0.0025210084033613447
5,21,0.58,0.0,0.0025210084033613447
5,21,0.59,0.0,0.0025210084033613447
5,21,0.6,0.0,0.0025210084033613447
5,21,0.61,0.0,0.0025210084033613447
5,21,0.62,0.0,0.0025210084033613447
5,21,0.63,0.0,0.0025210084033613447
5,21,0.64,0.0,0.0025210084033613447
5,21,0.65,0.0,0.0025210084033613447
5,21,0.66,0.0,0.0025210084033613447
5,21,0.67,0.0,0.0025210084033613447
5,21,0.68,0.0,0.0025210084033613447
5,21,0.69,0.0,0.0025210084033613447
5,21,0.7,0.0,0.0025210084033613447
5,21,0.71,0.0,0.0025210084033613447
5,21,0.72,0.0,0.0025210084033613447
5,21,0.73,0.0,0.0025210084033613447
5,21,0.74,0.0,0.0025210084033613447
5,21,0.75,0.0,0.0025210084033613447
5,21,0.76,0.0,0.0025210084033613447
5,21,0.77,0.0,0.0025210084033613447
